,min,max,default,share_group,step,code,unit,disabled,cache_error,permitted_values
capacity_of_industry_chp_engine_gas_power_fuelmix,0.0,5377.47954,0.0,,0.01,capacity_of_industry_chp_engine_gas_power_fuelmix,#,,,
capacity_of_industry_heat_well_geothermal,0.0,998.6747717142858,0.0,,0.1,capacity_of_industry_heat_well_geothermal,MW,,,
capacity_of_industry_heat_burner_coal,0.0,3192.111142465754,0.0,,0.1,capacity_of_industry_heat_burner_coal,MW,,,
capacity_of_industry_chp_ultra_supercritical_coal,0.0,1553.4940893333332,0.0,,0.1,capacity_of_industry_chp_ultra_supercritical_coal,MW,,,
capacity_of_industry_heat_burner_lignite,0.0,3192.111142465754,0.0,,0.1,capacity_of_industry_heat_burner_lignite,MW,,,
capacity_of_industry_chp_wood_pellets,0.0,1165.120567,0.0,,0.1,capacity_of_industry_chp_wood_pellets,MW,,,
capacity_of_industry_heat_burner_crude_oil,0.0,3192.111142465754,0.0,,0.1,capacity_of_industry_heat_burner_crude_oil,MW,,,
capacity_of_energy_heat_solar_thermal,0.0,16428.222204464106,0.0,,0.1,capacity_of_energy_heat_solar_thermal,MW,,,
energy_heat_distribution_loss_share,0.0,50.0,0.0,,0.1,energy_heat_distribution_loss_share,%,,,
volume_of_imported_heat,0.0,40.45285435627242,0.0,,0.01,volume_of_imported_heat,PJ,,,
capacity_of_energy_heat_burner_hydrogen,0.0,5131.006387147693,0.0,,0.1,capacity_of_energy_heat_burner_hydrogen,MW,,,
share_of_industry_other_ict_reused_residual_heat,0.0,100.0,0.0,,1.0,share_of_industry_other_ict_reused_residual_heat,%,,,
heat_storage_enabled,0.0,1.0,0.0,,1.0,heat_storage_enabled,x,,,
share_of_industry_chemicals_fertilizers_reused_residual_heat,0.0,100.0,0.0,,1.0,share_of_industry_chemicals_fertilizers_reused_residual_heat,%,,,
capacity_of_energy_heat_burner_waste_mix,0.0,5131.006387147693,185.5723282597666,,0.1,capacity_of_energy_heat_burner_waste_mix,MW,,,
energy_heat_network_storage_output_capacity_share,0.0,300.0,300.0,,0.1,energy_heat_network_storage_output_capacity_share,%,,,
share_of_industry_chemicals_other_reused_residual_heat,0.0,100.0,0.0,,1.0,share_of_industry_chemicals_other_reused_residual_heat,%,,,
capacity_of_energy_heat_heatpump_water_water_electricity,0.0,1728.7544596697612,3.4897688034188032,,0.1,capacity_of_energy_heat_heatpump_water_water_electricity,MW,,,
energy_heat_network_storage_loss_share,0.0,50.0,30.000006804802226,,0.1,energy_heat_network_storage_loss_share,%,,,
capacity_of_energy_heat_burner_wood_pellets,0.0,5131.006387147693,74.90079578893963,,0.1,capacity_of_energy_heat_burner_wood_pellets,MW,,,
capacity_of_energy_heat_burner_crude_oil,0.0,5131.006387147693,0.0,,0.1,capacity_of_energy_heat_burner_crude_oil,MW,,,
capacity_of_energy_heat_burner_coal,0.0,5131.006387147693,0.0,,0.1,capacity_of_energy_heat_burner_coal,MW,,,
capacity_of_energy_heat_well_geothermal,0.0,1872.817331308908,0.0,,0.1,capacity_of_energy_heat_well_geothermal,MW,,,
co2_emissions_of_imported_heat,0.0,100.0,35.97,,0.1,co2_emissions_of_imported_heat,kg/GJ,,,
share_of_industry_chemicals_refineries_reused_residual_heat,0.0,100.0,0.0,,1.0,share_of_industry_chemicals_refineries_reused_residual_heat,%,,,
capacity_of_energy_heat_burner_network_gas,0.0,5131.006387147693,15.218328259766613,,0.1,capacity_of_energy_heat_burner_network_gas,MW,,,
climate_relevant_co2_biomass_gas_present,0.0,100.0,0.0,,0.1,climate_relevant_co2_biomass_gas_present,%,,,
climate_relevant_co2_biomass_solid_present,0.0,100.0,0.0,,0.1,climate_relevant_co2_biomass_solid_present,%,,,
climate_relevant_co2_biomass_gas_future,0.0,100.0,0.0,,0.1,climate_relevant_co2_biomass_gas_future,%,,,
climate_relevant_co2_biomass_liquid_present,0.0,100.0,0.0,,0.1,climate_relevant_co2_biomass_liquid_present,%,,,
climate_relevant_co2_biomass_liquid_future,0.0,100.0,0.0,,0.1,climate_relevant_co2_biomass_liquid_future,%,,,
climate_relevant_co2_biomass_solid_future,0.0,100.0,0.0,,0.1,climate_relevant_co2_biomass_solid_future,%,,,
flh_of_energy_power_ultra_supercritical_ccs_coal,,,,,,flh_of_energy_power_ultra_supercritical_ccs_coal,hours,True,Non-numeric GQL value,
flh_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,,,,,,flh_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,hours,True,Non-numeric GQL value,
flh_of_energy_power_combined_cycle_ccs_network_gas,,,,,,flh_of_energy_power_combined_cycle_ccs_network_gas,hours,True,Non-numeric GQL value,
flh_of_energy_power_combined_cycle_network_gas,,,,,,flh_of_energy_power_combined_cycle_network_gas,hours,True,Non-numeric GQL value,
flh_of_energy_power_wind_turbine_coastal_user_curve,0.0,8760.0,2550.0,,,flh_of_energy_power_wind_turbine_coastal_user_curve,hours,,,
flh_of_energy_power_wind_turbine_offshore_user_curve,0.0,8760.0,3500.0,,,flh_of_energy_power_wind_turbine_offshore_user_curve,hours,,,
flh_of_energy_power_nuclear_gen3_uranium_oxide,,,,,,flh_of_energy_power_nuclear_gen3_uranium_oxide,hours,True,Non-numeric GQL value,
flh_of_energy_power_engine_diesel,,,,,,flh_of_energy_power_engine_diesel,hours,True,Non-numeric GQL value,
flh_of_energy_power_wind_turbine_inland,1920.0,3500.0,1920.0,,1.0,flh_of_energy_power_wind_turbine_inland,hours,,,
flh_of_energy_power_wind_turbine_coastal,2550.0,4500.0,2550.0,,1.0,flh_of_energy_power_wind_turbine_coastal,hours,,,
flh_of_energy_power_wind_turbine_inland_user_curve,0.0,8760.0,1920.0,,,flh_of_energy_power_wind_turbine_inland_user_curve,hours,,,
flh_of_energy_power_ultra_supercritical_lignite,,,,,,flh_of_energy_power_ultra_supercritical_lignite,hours,True,Non-numeric GQL value,
flh_of_energy_power_combined_cycle_ccs_coal,,,,,,flh_of_energy_power_combined_cycle_ccs_coal,hours,True,Non-numeric GQL value,
flh_of_energy_power_ultra_supercritical_network_gas,,,,,,flh_of_energy_power_ultra_supercritical_network_gas,hours,True,Non-numeric GQL value,
flh_of_hydro_river,,,,,,flh_of_hydro_river,hours,True,Non-numeric GQL value,
flh_of_energy_chp_ultra_supercritical_coal,,,,,,flh_of_energy_chp_ultra_supercritical_coal,hours,True,Non-numeric GQL value,
flh_of_energy_hydrogen_wind_turbine_offshore,4000.0,6500.0,4000.0,,1.0,flh_of_energy_hydrogen_wind_turbine_offshore,hours,,,
flh_of_geothermal_heat,,,,,,flh_of_geothermal_heat,hours,True,Non-numeric GQL value,
flh_of_energy_chp_ultra_supercritical_cofiring_coal,,,,,,flh_of_energy_chp_ultra_supercritical_cofiring_coal,hours,True,Non-numeric GQL value,
flh_of_energy_power_wind_turbine_offshore,3500.0,6500.0,3500.0,,1.0,flh_of_energy_power_wind_turbine_offshore,hours,,,
flh_of_energy_power_ultra_supercritical_coal,,,,,,flh_of_energy_power_ultra_supercritical_coal,hours,True,Non-numeric GQL value,
flh_of_solar_thermal,,,,,,flh_of_solar_thermal,hours,True,Non-numeric GQL value,
flh_of_energy_chp_ultra_supercritical_lignite,,,,,,flh_of_energy_chp_ultra_supercritical_lignite,hours,True,Non-numeric GQL value,
flh_of_energy_power_engine_network_gas,,,,,,flh_of_energy_power_engine_network_gas,hours,True,Non-numeric GQL value,
flh_of_energy_power_supercritical_waste_mix,,,,,,flh_of_energy_power_supercritical_waste_mix,hours,True,Non-numeric GQL value,
flh_of_energy_power_supercritical_coal,,,,,,flh_of_energy_power_supercritical_coal,hours,True,Non-numeric GQL value,
flh_of_solar_pv_solar_radiation_user_curve,0.0,8760.0,867.0,,,flh_of_solar_pv_solar_radiation_user_curve,hours,,,
flh_of_energy_heater_for_heat_network_waste_mix,,,,,,flh_of_energy_heater_for_heat_network_waste_mix,hours,True,Non-numeric GQL value,
flh_of_energy_chp_combined_cycle_network_gas,,,,,,flh_of_energy_chp_combined_cycle_network_gas,hours,True,Non-numeric GQL value,
flh_of_energy_power_nuclear_gen2_uranium_oxide,,,,,,flh_of_energy_power_nuclear_gen2_uranium_oxide,hours,True,Non-numeric GQL value,
flh_of_energy_power_turbine_network_gas,,,,,,flh_of_energy_power_turbine_network_gas,hours,True,Non-numeric GQL value,
flh_of_energy_power_ultra_supercritical_cofiring_coal,,,,,,flh_of_energy_power_ultra_supercritical_cofiring_coal,hours,True,Non-numeric GQL value,
flh_of_energy_power_combined_cycle_coal,,,,,,flh_of_energy_power_combined_cycle_coal,hours,True,Non-numeric GQL value,
flh_of_energy_power_ultra_supercritical_crude_oil,,,,,,flh_of_energy_power_ultra_supercritical_crude_oil,hours,True,Non-numeric GQL value,
flh_of_energy_chp_supercritical_waste_mix,,,,,,flh_of_energy_chp_supercritical_waste_mix,hours,True,Non-numeric GQL value,
flh_of_solar_pv_solar_radiation,867.0,1361.35634547,867.0,,1.0,flh_of_solar_pv_solar_radiation,hours,,,
co2_emission_1990,0.0,0.0,0.0,,,co2_emission_1990,,,,
offshore_suitable_for_wind,0.0,0.0,0.0,,,offshore_suitable_for_wind,,,,
number_of_inhabitants_present,0.0,0.0,0.0,,,number_of_inhabitants_present,,,,
co2_emission_1990_aviation_bunkers,0.0,0.0,0.0,,,co2_emission_1990_aviation_bunkers,,,,
co2_emission_1990_marine_bunkers,0.0,0.0,0.0,,,co2_emission_1990_marine_bunkers,,,,
buildings_roof_surface_available_for_pv,0.0,0.0,0.0,,,buildings_roof_surface_available_for_pv,,,,
areable_land,0.0,0.0,0.0,,,areable_land,,,,
number_of_inhabitants,0.0,0.0,0.0,,,number_of_inhabitants,,,,
number_of_buildings_both,0.0,0.0,0.0,,,number_of_buildings_both,,,,
coast_line,0.0,0.0,0.0,,,coast_line,,,,
number_of_buildings_present,0.0,0.0,0.0,,,number_of_buildings_present,,,,
residences_roof_surface_available_for_pv,0.0,0.0,0.0,,,residences_roof_surface_available_for_pv,,,,
number_of_residences,0.0,0.0,0.0,,,number_of_residences,,,,
flexibility_outdoor_temperature,-5.0,5.0,0.0,,0.1,flexibility_outdoor_temperature,degC,,,
settings_satisfy_export_with_dispatchables,0.0,1.0,0.0,,1.0,settings_satisfy_export_with_dispatchables,x,,,
electricity_interconnector_4_export_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_4_export_availability,%,,,
electricity_interconnector_4_co2_emissions_present,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_4_co2_emissions_present,gCO2/KWh,,,
electricity_interconnector_4_co2_emissions_future,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_4_co2_emissions_future,gCO2/KWh,,,
electricity_interconnector_4_marginal_costs,0.0,500.0,34.999999999999204,,0.1,electricity_interconnector_4_marginal_costs,euro,,,
electricity_interconnector_4_capacity,0.0,600000.0,0.0,,0.01,electricity_interconnector_4_capacity,MW,,,
electricity_interconnector_4_import_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_4_import_availability,%,,,
electricity_interconnector_6_import_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_6_import_availability,%,,,
electricity_interconnector_6_capacity,0.0,600000.0,0.0,,0.01,electricity_interconnector_6_capacity,MW,,,
electricity_interconnector_6_marginal_costs,0.0,500.0,34.999999999999204,,0.1,electricity_interconnector_6_marginal_costs,euro,,,
